cell,group in,nuclide,mean,std. dev.
1,1,total,0.4154313289412321,0.0022145758820784596
1,2,total,0.36108818385084546,0.0014032399620986485
1,3,total,0.39506297457864015,0.0021589476917800534
1,4,total,0.45500309108914105,0.0021023554573333402
1,5,total,0.4135006086298459,0.0018283549900601523
1,6,total,0.5107523786365672,0.0021810440997634194
1,7,total,0.8750397214639963,0.003540943947843127
1,8,total,1.7275697940546473,0.010113063068198657
1,9,total,0.42263963982282526,0.002243143144460176
1,10,total,0.3815761479143874,0.0018137678474413265
1,11,total,0.3744114156235646,0.0015434771190238983
1,12,total,0.40947826653676905,0.0014974210129721352
1,13,total,0.38121101129764234,0.0015213506724075247
1,14,total,0.38061914600058755,0.002239766945807787
1,15,total,0.39678753839156977,0.0023838814576177653
1,16,total,0.39069169168374057,0.0015793968255566908
1,17,total,0.3914696006547662,0.001612207092419353
1,18,total,0.4081398568047678,0.002609899976721776
1,19,total,0.4639354909816234,0.0029903676148963767
1,20,total,0.4490935526941917,0.0025846389330769965
1,21,total,0.42868210930324213,0.0027169842190594077
1,22,total,0.42255640961272245,0.0021324304175802306
1,23,total,0.42741562478792017,0.0012902481920048056
1,24,total,0.43881879990732725,0.0026879065099511238
1,25,total,0.44761221860414746,0.0022967397803844375
1,26,total,0.4560202487889456,0.0022761255130163034
1,27,total,0.4684777869675688,0.0023460711381815837
1,28,total,0.5115890333939751,0.0015938520774319
1,29,total,0.5550848081670982,0.0025723092658660545
1,30,total,0.5571008744113297,0.002584140284982669
1,31,total,0.5467903727298964,0.0015569011933424866
1,32,total,0.5618326868046354,0.0010341205322665814
1,33,total,0.5862123234997333,0.0018869474090937148
1,34,total,0.6142531162325455,0.0013208037031445165
1,35,total,0.652975706170806,0.001602883165390618
1,36,total,0.6880520317077866,0.0012430983529079145
1,37,total,0.7390521773076459,0.0014741181681226035
1,38,total,0.7832740010253549,0.0021396830105461532
1,39,total,0.823953827768896,0.001720952106071818
1,40,total,0.8635377203822591,0.003478001661676357
1,41,total,0.8877289020072521,0.0029797810617326454
1,42,total,0.9582460589170694,0.0019313652190256615
1,43,total,1.0461786332788803,0.004705279078223585
1,44,total,1.1219382887539369,0.003962832116049442
1,45,total,1.2324636626468408,0.005020873170236055
1,46,total,1.3257292581059166,0.006485619135281075
1,47,total,1.4560113364964395,0.006603552819562897
1,48,total,1.5857203517227692,0.015677420749560318
1,49,total,1.7231778536292472,0.012997243959404188
1,50,total,1.903701443741447,0.04800747218080491
1,51,total,2.0544913510316953,0.022136075206773263
1,52,total,2.2965812930781837,0.05967697382801505
1,53,total,2.5133830717082186,0.04880721982617415
1,54,total,2.712190853438278,0.12766107180542974
1,55,total,2.853748110378899,0.111595156784074
1,56,total,3.0865124670997877,0.09764419318670371
1,57,total,3.3048079343930366,0.17153711844266037
1,58,total,3.5608384517149907,0.18952473776415127
1,59,total,3.8100036631242777,0.3304598455068767
1,60,total,4.261354861776906,0.20089433861660924
1,61,total,5.032198459723401,0.5569180556611647
1,62,total,5.338115116872689,0.6887376251403058
1,63,total,6.441720544339612,0.8167811091788355
1,64,total,7.3516198563140875,1.3294062132825566
1,65,total,7.447782566265831,4.6218721897730735
1,66,total,8.658782699983389,2.428742967765314
1,67,total,10.27433247347103,4.801265057367402
1,68,total,11.200528025451439,10.189445258869819
1,69,total,11.063494494819397,8.345051963736138
1,70,total,15.15257069635156,11.357305335659158
1,71,total,12.927714080765622,10.368918894350125
1,72,total,0.0,0.0
1,73,total,17.913066191761278,12.98086046856676
1,74,total,18.435965939861934,14.055665942436507
1,75,total,0.0,0.0
1,76,total,21.88256078862782,15.537583216602306
1,77,total,25.79157657556263,23.038112840288715
1,78,total,19.622672430651228,27.419207722733454
1,79,total,19.419230181578452,27.46293869363319
1,80,total,0.0,0.0
1,81,total,31.26222908007642,27.775794128560577
1,82,total,0.0,0.0
1,83,total,19.447198697545186,38.48751258642332
1,84,total,0.0,0.0
1,85,total,0.0,0.0
1,86,total,0.0,0.0
1,87,total,0.0,0.0
1,88,total,35.35207430305024,49.99538293739503
1,89,total,0.0,0.0
1,90,total,0.0,0.0
1,91,total,0.0,0.0
1,92,total,0.0,0.0
1,93,total,0.0,0.0
1,94,total,0.0,0.0
1,95,total,0.0,0.0
1,96,total,0.0,0.0
1,97,total,0.0,0.0
1,98,total,0.0,0.0
1,99,total,0.0,0.0
1,100,total,0.0,0.0
1,101,total,0.0,0.0
1,102,total,0.0,0.0
1,103,total,0.0,0.0
1,104,total,0.0,0.0
1,105,total,0.0,0.0
1,106,total,0.0,0.0
1,107,total,0.0,0.0
1,108,total,0.0,0.0
1,109,total,0.0,0.0
1,110,total,0.0,0.0
1,111,total,0.0,0.0
1,112,total,0.0,0.0
1,113,total,0.0,0.0
1,114,total,0.0,0.0
1,115,total,0.0,0.0
1,116,total,0.0,0.0
1,117,total,0.0,0.0
1,118,total,0.0,0.0
1,119,total,0.0,0.0
1,120,total,0.0,0.0
1,122,total,0.0,0.0
1,122,total,0.0,0.0
1,123,total,0.0,0.0
1,125,total,0.0,0.0
1,125,total,0.0,0.0
1,126,total,0.0,0.0
1,127,total,0.0,0.0
1,128,total,0.0,0.0
1,129,total,0.0,0.0
1,131,total,0.0,0.0
1,131,total,0.0,0.0
1,133,total,0.0,0.0
1,133,total,0.0,0.0
1,134,total,0.0,0.0
1,135,total,0.0,0.0
1,136,total,0.0,0.0
1,137,total,0.0,0.0
1,138,total,0.0,0.0
1,139,total,0.0,0.0
1,141,total,0.0,0.0
1,141,total,0.0,0.0
1,142,total,0.0,0.0
1,144,total,0.0,0.0
1,144,total,0.0,0.0
1,145,total,0.0,0.0
1,146,total,0.0,0.0
1,147,total,0.0,0.0
1,148,total,0.0,0.0
1,150,total,0.0,0.0
1,150,total,0.0,0.0
1,151,total,0.0,0.0
1,153,total,0.0,0.0
1,153,total,0.0,0.0
1,154,total,0.0,0.0
1,156,total,0.0,0.0
1,156,total,0.0,0.0
1,158,total,0.0,0.0
1,159,total,0.0,0.0
1,160,total,0.0,0.0
1,161,total,0.0,0.0
1,162,total,0.0,0.0
1,163,total,0.0,0.0
1,164,total,0.0,0.0
1,165,total,0.0,0.0
1,166,total,0.0,0.0
1,167,total,0.0,0.0
1,168,total,0.0,0.0
1,169,total,0.0,0.0
1,170,total,0.0,0.0
1,171,total,0.0,0.0
1,172,total,0.0,0.0
1,172,total,0.0,0.0
